id,name,mood,artist_id
1,God's Plan,Chill,23
2,SAD!,Sad,67
3,rockstar (feat. 21 Savage),Energetic,54
4,Psycho (feat. Ty Dolla $ign),Energetic,54
5,In My Feelings,Happy,23
6,Better Now,Sad,54
7,I Like It,Happy,15
8,One Kiss (with Dua Lipa),Happy,13
9,IDGAF,Chill,24
10,FRIENDS,Chill,44
11,Havana,Energetic,14
12,Lucid Dreams,Sad,32
13,Nice For What,Energetic,23
14,Girls Like You (feat. Cardi B),Happy,43
15,The Middle,Happy,70
16,All The Stars (with SZA),Chill,34
17,no tears left to cry,Chill,5
18,X,Sad,48
19,Moonlight,Sad,67
20,Look Alive (feat. Drake),Energetic,11
21,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Chill,57
22,Te Bote - Remix,Happy,49
23,Mine,Happy,6
24,Youngblood,Happy,1
25,New Rules,Happy,24
26,Shape of You,Happy,26
27,Love Lies (with Normani),Happy,35
28,Meant to Be (feat. Florida Georgia Line),Happy,7
29,Jocelyn Flores,Sad,67
30,Perfect,Sad,26
31,Taste (feat. Offset),Happy,65
32,Solo (feat. Demi Lovato),Chill,16
33,I Fall Apart,Sad,54
34,Nevermind,Sad,20
35,Echame La Culpa,Happy,41
36,Eastside (with Halsey & Khalid),Chill,9
37,Never Be the Same,Chill,14
38,Wolves,Chill,59
39,changes,Sad,67
40,In My Mind,Sad,25
41,River (feat. Ed Sheeran),Sad,27
42,Dura,Energetic,17
43,SICKO MODE,Energetic,64
44,Thunder,Energetic,30
45,Me Niego,Chill,55
46,Jackie Chan,Energetic,63
47,Finesse (Remix) [feat. Cardi B],Energetic,12
48,Back To You - From 13 Reasons Why,Chill,59
49,Let You Down,Chill,47
50,Call Out My Name,Sad,62
51,Ric Flair Drip (& Metro Boomin),Happy,50
52,Happier,Happy,44
53,Too Good At Goodbyes,Sad,58
54,Freaky Friday (feat. Chris Brown),Happy,38
55,Believer,Happy,30
56,FEFE (feat. Nicki Minaj & Murda Beatz),Energetic,2
57,Rise,Chill,31
58,Body (feat. brando),Chill,40
59,XO TOUR Llif3,Sad,39
60,Sin Pijama,Energetic,8
61,2002,Chill,4
62,Nonstop,Energetic,23
63,Fuck Love (feat. Trippie Redd),Sad,67
64,In My Blood,Chill,60
65,Silence,Sad,44
66,God is a woman,Chill,5
67,Dejala que vuelva (feat. Manuel Turizo),Chill,52
68,Flames,Energetic,18
69,What Lovers Do,Happy,43
70,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Happy,22
71,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Sad,29
72,Feel It Still,Energetic,53
73,Pray For Me (with Kendrick Lamar),Energetic,62
74,Walk It Talk It,Energetic,45
75,Him & I (with Halsey),Sad,28
76,Candy Paint,Happy,54
77,Congratulations,Happy,54
78,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Happy,61
79,Criminal,Happy,46
80,Plug Walk,Energetic,56
81,lovely (with Khalid),Sad,10
82,Stir Fry,Energetic,45
83,HUMBLE.,Energetic,34
84,Vaina Loca,Happy,51
85,Perfect Duet (Ed Sheeran & Beyonc?),Sad,26
86,Corazon (feat. Nego do Borel),Energetic,42
87,Young Dumb & Broke,Chill,35
88,Siguelo Bailando,Energetic,51
89,Downtown,Chill,3
90,Bella,Energetic,66
91,Promises (with Sam Smith),Energetic,13
92,Yes Indeed,Energetic,37
93,I Like Me Better,Happy,36
94,This Is Me,Sad,33
95,Everybody Dies In Their Nightmares,Sad,67
96,Rewrite The Stars,Chill,68
97,I Miss You (feat. Julia Michaels),Sad,16
98,No Brainer,Sad,21
99,Dusk Till Dawn - Radio Edit,Sad,69
100,Be Alright,Chill,19
